                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.70313,                 1.4295,                 1.0242,                 0.4934,                 0.7323,                0.66134,                0.59415,                0.46199,                 1.1124,                0.85151,              0.0099168,              0.0099168,              0.0099168
                     87,                0.72179,                 1.3279,                 1.0235,                0.53639,                0.67834,                0.60802,                0.55454,                  0.447,                 1.0263,                0.85335,              0.0099159,              0.0099159,              0.0099159
                     88,                 0.7001,                 1.3369,                 1.0261,                0.58068,                0.53793,                 0.6065,                0.52677,                 0.4397,                 1.2082,                0.84826,              0.0099149,              0.0099149,              0.0099149
                     89,                0.76096,                 1.3449,                 1.0245,                0.73293,                0.53331,                0.66779,                0.59817,                0.44314,                0.97358,                0.85041,              0.0099139,              0.0099139,              0.0099139
                     90,                0.72452,                  1.365,                 1.0292,                0.46844,                0.62112,                0.67517,                0.59309,                0.44432,                  1.094,                0.84611,              0.0099129,              0.0099129,              0.0099129
                     91,                0.71298,                 1.3295,                 1.0293,                0.43863,                0.83057,                0.65155,                 0.5794,                0.45498,                  1.129,                0.84973,              0.0099119,              0.0099119,              0.0099119
                     92,                0.67767,                 1.3322,                0.98571,                0.50737,                0.79444,                0.70031,                0.63972,                0.42479,                 1.0335,                0.84317,              0.0099109,              0.0099109,              0.0099109
                     93,                0.69597,                  1.341,                 1.0051,                0.49446,                0.83791,                0.72312,                0.62286,                 0.4587,                 1.0251,                0.84993,              0.0099099,              0.0099099,              0.0099099
                     94,                0.76347,                 1.4075,                 1.0313,                0.46389,                0.68579,                0.70503,                0.63542,                0.43156,                 1.0383,                0.84481,              0.0099089,              0.0099089,              0.0099089
                     95,                0.74564,                 1.3803,                 1.0311,                0.55603,                0.85368,                0.80718,                0.73466,                0.43865,                 1.0163,                0.84683,              0.0099079,              0.0099079,              0.0099079
                     96,                0.70852,                 1.2041,                 1.0007,                0.58192,                0.74301,                0.75099,                0.67955,                0.43075,                 1.0117,                0.84442,              0.0099069,              0.0099069,              0.0099069
                     97,                0.75418,                 1.3498,                 1.0236,                0.52371,                0.77488,                0.70354,                 0.6164,                0.44797,                0.97476,                0.84769,               0.009906,               0.009906,               0.009906
                     98,                0.73019,                  1.289,                 1.0191,                 0.5433,                 0.7692,                0.73276,                0.64965,                  0.466,                 1.0142,                0.85245,               0.009905,               0.009905,               0.009905
                     99,                0.74741,                  1.309,                 1.0156,                 0.5914,                0.63273,                0.68224,                0.60341,                 0.4259,                 1.0428,                0.84621,               0.009904,               0.009904,               0.009904
                    100,                0.72846,                 1.3731,                  1.037,                0.59868,                 0.6559,                0.77122,                0.67097,                0.47234,                 1.0765,                0.85431,               0.009903,               0.009903,               0.009903
                    101,                0.77427,                 1.4078,                 1.0669,                0.56929,                0.80504,                0.80342,                0.73147,                0.43918,                0.94293,                 0.8516,               0.009902,               0.009902,               0.009902
                    102,                0.70612,                 1.1318,                0.97509,                0.61368,                0.68361,                0.78167,                 0.6984,                0.45194,                 1.0057,                0.84846,               0.009901,               0.009901,               0.009901
                    103,                0.72066,                 1.1818,                 0.9935,                0.59247,                0.71893,                0.73525,                0.66902,                0.46327,                 1.0391,                0.85827,                 0.0099,                 0.0099,                 0.0099
                    104,                0.70932,                 1.2398,                 1.0296,                0.63968,                0.69122,                 0.7269,                0.65132,                0.43121,                0.94152,                0.85558,               0.009899,               0.009899,               0.009899
                    105,                 0.7297,                 1.2669,                 1.0314,                0.67186,                0.73102,                0.76907,                 0.6711,                  0.483,                 0.9768,                0.85903,               0.009898,               0.009898,               0.009898
